place,qual.sample,meanval,sd,conf_min95,conf_max95,qual_level,percentdiff_mean,percentdiff_confmin,percentdiff_confmax
Barnsley,No qualifications,216.16080268828506,15.218428050893682,186.33268370853344,245.98892166803668,No qualifications,NA,NA,NA
Barnsley,Level 1 and entry level qualifications,258.13099038884656,51.22973830238794,157.72070331616618,358.54127746152693,Level 1 and entry level qualifications,16.25925954777376,-18.14091605653813,31.391742839307422
Barnsley,Level 2 qualifications,370.6553840172193,49.011783624533464,274.59228811313375,466.7184799213049,Level 2 qualifications,30.35822450730819,42.56185983956539,23.178255653819
Barnsley,Level 3 qualifications,491.7575347200686,56.575566987921846,380.86942342374175,602.6456460163954,Level 3 qualifications,24.62639454457699,27.90382445386482,22.555073116946158
Barnsley,Level 4 qualifications or above,703.195360298684,97.35760692417401,512.3744507273029,894.0162698700651,Level 4 qualifications or above,30.068148556726353,25.66580498244849,32.59119925144282
Doncaster,No qualifications,199.3545246502271,14.694791165144604,170.55273396654366,228.15631533391053,No qualifications,NA,NA,NA
Doncaster,Level 1 and entry level qualifications,251.51958709129906,67.2707956831655,119.66882755229469,383.3703466303034,Level 1 and entry level qualifications,20.739960272810315,-42.52060244512127,40.48670760810587
Doncaster,Level 2 qualifications,379.05373331393133,38.66460775717295,303.27110210987234,454.8363645179903,Level 2 qualifications,33.64540037837032,60.540642771516104,15.712467925343335
Doncaster,Level 3 qualifications,486.8493589330376,58.58053130469005,372.0315175758451,601.6672002902301,Level 3 qualifications,22.141474285875095,18.482416735553794,24.403995381734624
Doncaster,Level 4 qualifications or above,818.7734404256414,209.53359816331897,408.08758802553626,1229.4592928257466,Level 4 qualifications or above,40.53918521343978,8.835375421277194,51.06245454395004
Rotherham,No qualifications,175.1653001785503,12.83268017528828,150.01324703498528,200.3173533221153,No qualifications,NA,NA,NA
Rotherham,Level 1 and entry level qualifications,223.15660821739337,58.0019321646343,109.47282117471015,336.8403952600766,Level 1 and entry level qualifications,21.505662961184278,-37.0324117212397,40.53048383123734
Rotherham,Level 2 qualifications,347.30023450270016,48.61596924745963,252.01293477767928,442.58753422772105,Level 2 qualifications,35.74533327426867,56.56063397250429,23.892932084534312
Rotherham,Level 3 qualifications,456.2130247386945,52.77593919426963,352.77218391792604,559.6538655594629,Level 3 qualifications,23.87323121657397,28.562129820215315,20.917631153090575
Rotherham,Level 4 qualifications or above,663.5067903792631,98.81347865725813,469.8323722110371,857.181208547489,Level 4 qualifications or above,31.242146824462587,24.91530920745719,34.70997030980091
Sheffield,No qualifications,196.54834911731672,13.521669252695796,170.04587738203296,223.05082085260048,No qualifications,NA,NA,NA
Sheffield,Level 1 and entry level qualifications,250.22873195629725,62.381388957030815,127.96120960051685,372.49625431207767,Level 1 and entry level qualifications,21.45252562297917,-32.88861359852769,40.11998288022292
Sheffield,Level 2 qualifications,378.7175855117966,43.254434315648155,293.9388942531262,463.496276770467,Level 2 qualifications,33.927353381771354,56.46673097629512,19.633388016071255
Sheffield,Level 3 qualifications,488.17522185310565,58.20953101085447,374.0845410718309,602.2659026343804,Level 3 qualifications,22.421792717338164,21.42447442203054,23.04125557447617
Sheffield,Level 4 qualifications or above,817.4890020537377,168.24640733306939,487.72604368092175,1147.2519604265538,Level 4 qualifications or above,40.28357315796459,23.30027360266144,47.50360658259803
